Domestic,(All),,,
District,(All),,,
,,,,
Count of Location Description,Column Labels,,,
Row Labels,FALSE,TRUE,(blank),Grand Total
ABANDONED BUILDING,97,22,,119
AIRCRAFT,52,3,,55
AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA,89,12,,101
AIRPORT BUILDING NON-TERMINAL - SECURE AREA,43,15,,58
AIRPORT EXTERIOR - NON-SECURE AREA,79,6,,85
AIRPORT EXTERIOR - SECURE AREA,44,7,,51
AIRPORT PARKING LOT,233,10,,243
AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA,106,103,,209
AIRPORT TERMINAL LOWER LEVEL - SECURE AREA,85,17,,102
AIRPORT TERMINAL MEZZANINE - NON-SECURE AREA,9,3,,12
AIRPORT TERMINAL UPPER LEVEL - NON-SECURE AREA,64,72,,136
AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,117,131,,248
AIRPORT TRANSPORTATION SYSTEM (ATS),22,2,,24
AIRPORT VENDING ESTABLISHMENT,19,,,19
AIRPORT/AIRCRAFT,,25,,25
ALLEY,4126,889,,5015
ANIMAL HOSPITAL,17,,,17
APARTMENT,41958,3680,,45638
APPLIANCE STORE,110,26,,136
ATHLETIC CLUB,287,15,,302
ATM (AUTOMATIC TELLER MACHINE),99,,,99
AUTO,18,7,,25
AUTO / BOAT / RV DEALERSHIP,233,16,,249
BANK,707,37,,744
BANQUET HALL,,1,,1
BAR OR TAVERN,1381,221,,1602
BARBER SHOP/BEAUTY SALON,1,1,,2
BARBERSHOP,121,14,,135
BASEMENT,1,,,1
BOAT / WATERCRAFT,20,5,,25
BOWLING ALLEY,28,3,,31
BRIDGE,16,7,,23
CAR WASH,138,5,,143
CEMETARY,13,1,,14
CHA APARTMENT,566,77,,643
CHA GROUNDS,1,,,1
CHA HALLWAY / STAIRWELL / ELEVATOR,125,25,,150
CHA LOBBY,1,,,1
CHA PARKING LOT,3,,,3
CHA PARKING LOT / GROUNDS,361,78,,439
CHURCH / SYNAGOGUE / PLACE OF WORSHIP,363,34,,397
CLEANING STORE,72,6,,78
COIN OPERATED MACHINE,15,1,,16
COLLEGE / UNIVERSITY - GROUNDS,77,7,,84
COLLEGE / UNIVERSITY - RESIDENCE HALL,15,6,,21
COMMERCIAL / BUSINESS OFFICE,3319,275,,3594
CONSTRUCTION SITE,186,6,,192
CONVENIENCE STORE,1184,176,,1360
CREDIT UNION,15,,,15
"CTA ""L"" TRAIN",,4,,4
CTA BUS,644,93,,737
CTA BUS STOP,293,45,,338
CTA PARKING LOT / GARAGE / OTHER PROPERTY,119,21,,140
CTA PLATFORM,402,195,,597
CTA PROPERTY,2,2,,4
CTA STATION,291,137,,428
CTA TRACKS - RIGHT OF WAY,4,5,,9
CTA TRAIN,1231,171,,1402
CURRENCY EXCHANGE,231,15,,246
DAY CARE CENTER,166,11,,177
DEPARTMENT STORE,2746,699,,3445
DRIVEWAY,2,,,2
DRIVEWAY - RESIDENTIAL,831,44,,875
DRUG STORE,1117,116,,1233
FACTORY / MANUFACTURING BUILDING,137,5,,142
FARM,1,,,1
FEDERAL BUILDING,30,6,,36
FIRE STATION,48,3,,51
FOREST PRESERVE,10,2,,12
GARAGE,2,3,,5
GAS STATION,2492,574,,3066
GAS STATION DRIVE/PROP.,2,2,,4
GOVERNMENT BUILDING / PROPERTY,310,230,,540
GROCERY FOOD STORE,1759,519,,2278
HALLWAY,2,3,,5
HIGHWAY / EXPRESSWAY,37,13,,50
HOSPITAL BUILDING / GROUNDS,1137,236,,1373
HOTEL,1,1,,2
HOTEL / MOTEL,1094,162,,1256
HOUSE,9,28,,37
JAIL / LOCK-UP FACILITY,8,14,,22
LAKEFRONT / WATERFRONT / RIVERBANK,73,8,,81
LIBRARY,178,25,,203
LIQUOR STORE,1,1,,2
MEDICAL / DENTAL OFFICE,303,16,,319
MOVIE HOUSE / THEATER,78,13,,91
NURSING / RETIREMENT HOME,757,40,,797
OFFICE,,2,,2
OTHER (SPECIFY),3458,146,,3604
OTHER COMMERCIAL TRANSPORTATION,98,20,,118
OTHER RAILROAD PROPERTY / TRAIN DEPOT,84,19,,103
PARK PROPERTY,1573,260,,1833
PARKING LOT,12,9,,21
PARKING LOT / GARAGE (NON RESIDENTIAL),8666,663,,9329
PAWN SHOP,20,1,,21
POLICE FACILITY,1,,,1
POLICE FACILITY / VEHICLE PARKING LOT,355,333,,688
POOL ROOM,9,,,9
PORCH,16,5,,21
PUBLIC GRAMMAR SCHOOL,1,,,1
RAILROAD PROPERTY,1,,,1
RESIDENCE,28490,2008,,30498
RESIDENCE - GARAGE,2669,104,,2773
RESIDENCE - PORCH / HALLWAY,2866,273,,3139
RESIDENCE - YARD (FRONT / BACK),2192,301,,2493
RESTAURANT,4441,423,,4864
RETAIL STORE,1,7,,8
RIVER BANK,,1,,1
SAVINGS AND LOAN,4,,,4
SCHOOL - PRIVATE BUILDING,218,22,,240
SCHOOL - PRIVATE GROUNDS,322,30,,352
SCHOOL - PUBLIC BUILDING,1666,121,,1787
SCHOOL - PUBLIC GROUNDS,1382,103,,1485
SCHOOL YARD,,2,,2
SIDEWALK,9241,2813,,12054
SMALL RETAIL STORE,6497,761,,7258
SPORTS ARENA / STADIUM,93,65,,158
STAIRWELL,1,,,1
STREET,58614,9018,,67632
TAVERN,,1,,1
TAVERN / LIQUOR STORE,411,115,,526
TAXICAB,42,3,,45
TRUCK,1,,,1
VACANT LOT,3,1,,4
VACANT LOT / LAND,531,144,,675
VEHICLE - COMMERCIAL,203,26,,229
VEHICLE - COMMERCIAL: ENTERTAINMENT / PARTY BUS,2,,,2
VEHICLE - COMMERCIAL: TROLLEY BUS,6,1,,7
VEHICLE - DELIVERY TRUCK,50,1,,51
"VEHICLE - OTHER RIDE SHARE SERVICE (LYFT, UBER, ETC.)",81,5,,86
VEHICLE NON-COMMERCIAL,2686,546,,3232
VESTIBULE,2,,,2
WAREHOUSE,164,23,,187
YARD,17,10,,27
(blank),,,,
Grand Total,210374,27895,,238269
